login,jobs,sus_charged
1,506,3175.1
2,1319,11504.46
3,186,1151.24
4,343,2106.6
5,17,63.41
6,452,1486.68
7,18,66.28
8,519,12574.86
9,114,675.85
10,60,322.92
11,23,93.18
12,7,24.28
13,19,62.1
14,37,173.59
15,17,65.78
16,291,1762.59
17,18,62.09
18,3,2.93
19,170,1016.09
20,177,2085.9
21,601,2207.46
22,17,56.46
23,18,62.54
24,44,150.43
25,2,6.9
26,212,1213.57
27,355,835.8
28,18,62.29
29,22,70.68
30,44,208.89
31,195,1172.51
32,18,71.49
33,17,51.33
34,361,2231.76
35,162,1033.66
